id,name
Jy4cEDFZnDS,""
K6Jiqw2RpjM,""
KgLKg1O5i1W,""
KHyIYjwtRst,""
kJhDSQIKwv4,""
KMzmxcakpGq,""
kO2D1RYSlUH,""
kOPigFmhWi9,""
KQjtAq4RW97,""
KukFWNb85Qr,""
l9TzJxDK16k,""
laa7pmOUCZR,""
lF9IwTupPwN,""
LI3cF1aeCf9,""
lIB6MSNO6tn,""
Lj4sMmyMp3U,""
Lt6CjodPpWZ,""
LzziaBHsjex,""
maPuklNprPK,""
mjbuiaRTpsA,""
mJYISvZkV70,""
MkBUUkQotXk,""
MsRJcoCjRxh,""
MV1ruBGsbDg,""
MxUaV1iMOgO,""
MYoaohwAbP1,""
N0e2nRXODl0,""
n7ijqMOflTw,""
NARbklOooeR,""
NAUBJmRtYEr,""
NFxUYy5JaYd,""
nkIG1xCtRa1,""
NmiYB0ieQte,""
NSSyLXCTK2F,""
O2VsX8UmSBT,""
o4JYoDQd5MW,""
o9qSFvGyWty,""
OCF9WGNLH4l,""
oEhCxilC4Jv,""
oeUDp31VGIW,""
OGcE3LQxLSE,""
opqzT94F3nq,""
OTT2MZak5cc,""
OUx6qMvFEUz,""
ovWkg6AQE9z,""
Oxi82NRwFbY,""
P3cBPkKLC8a,""
P6TAEJlzlGa,""
pCnrg3VpYjE,""
PeXqQi7tt0T,""
PoTUgfDRyzo,""
pQGhEUZP8D0,""
PTBCc1eQTOK,""
Pwg3M8Rkj7G,""
pzN0RubVJ1v,""
Q1GoEcbAcQS,""
q7bwIqBEhXP,""
QaiNtb0EzOe,""
qbFVFDb8GDU,""
QDQ5iJ5roVw,""
qUXDmAhi6tz,""
r5Yqy3Ln6Mg,""
rCF52k30t3R,""
RJAkF3na3S6,""
rvoEJ2Vj5cO,""
s3LYSEY5J1Z,""
SD5on404nOT,""
snvtpWEbWis,""
SVMzus006jQ,""
ThFGpoxhLnd,""
TpInh3Se4FF,""
tpOwEQxiMxi,""
TW7gZKe00Lf,""
Tztw7Lfx5Ci,""
uF40zPfdEtT,""
UHDsyEf2z3V,""
UhZAGv4nN0M,""
ukYeH5Bs0M8,""
undv7cbyuxL,""
uSdPtadCjQX,""
uVVxKYBZiF9,""
UWLZDQRCqwF,""
UxjHOdhEn8P,""
V0qbkkIsb55,""
V7mUMhJmDbz,""
V8X0kXEd48J,""
vcuWLnagngr,""
VG4BCmAjolT,""
vHs1DCRwSzu,""
VM4sMIiCTsW,""
VoeiDIBsscG,""
vqisEYSFgVI,""
wA9NYiUVUov,""
wEWttWEYURL,""
Wj3YDgzLSDJ,""
WKZWaLLrZOr,""
WNMhH7oCG5I,""
WUj1kacfs3j,""
xDf1yeSj7xK,""
XLWEQcbavuo,""
XsLMmLfbqxI,""
xSrGOmJNtaA,""
Xt8UawGqBbT,""
xuRHePbmGx6,""
xZKRj8P3G4O,""
y4Hy3F3FoER,""
Ybjk9kzSqL9,""
YDmZbRQg6jq,""
yLOueZgXDWF,""
zCg1sx8rOfC,""
ZcXh9qBEVMW,""
zLjo2T3w1AG,""
q3SHzSFOVhA, CARE FOR HIV/AIDS ORGANIZATION
scbg2Eb3XzP, CARE FOR HIV/AIDS ORGANIZATION
nJPBSloycQr, DICE  Kabiyet SCH
fMWTzOzTs2v, DICE  MAAYGO-VIHIGA
fy4Z3L9oIQJ, DICE CHAMUKA DISPENSARY (FSW)
wz0cHAuTxTr, DICE CHAMUKA DISPENSARY (MSM)
ocAqlWrbzjJ, DICE CHS Kyumbi
faUje7Z6avC, DICE ENGINEER SUBCOUNTY HOSPITAL (FSW) 
D8VCFlCpii9, DICE ISIOLO COUNTY REFERRAL HOSPITAL BHESP
CJSRST8K2eO, DICE JM KARIUKI HOSPITAL (FSW)
bwovRh1cl8P, DICE MAAYGO BUNGOMA
cTox7e5vSSG, DICE MAAYGO KAKAMEGA
PsfTLYb4IAW, DICE Mogogosiek Health Centre
aywsEAlfTJS, DICE Mosoriot SCH
vWqBIxcbxL3, DICE NDARAGWA H C (MSM)
Jcm9JUKAF8v, DICE SEGA DISPENSARY
KAFB5Citnv5, DICE TEENS WATCH CENTRE -FSW
EAe4uygAXsW, Dandelion Africa 
hYMmDVCLF2U, Dandelion Africa 
a57uWFr3dUy, Female
byLS20t3AAp, Female
lJtppvJuV5u, Female
MrDAJPEt3eB, Female
UxVAWaVWY8v, Female
nJGOv6yFskK," Female, 0-9 yrs"
olsXIjAEGe7," Female, 1-4 yrs, A"
lmyyUATejii," Female, 1-4 yrs, D"
Tf8zVyOvc1j," Female, 10-17 yrs"
BuH0GPNeTVZ," Female, 11-14 yrs, Female D"
QcenHuJqNjo," Female, 11-14 yrs, Female D"
MTsskLXMT5Y," Female, 11-14 yrs, Male d"
TM0A69cneGW," Female, 11-14 yrs, Male d"
ZDNljrx2VBM," Female, 15 yrs and above"
kvHsogeJTIG," Female, 15-18yrs, Female D"
YO9NkXfsgJ5," Female, 15-18yrs, Female D"
Irgn8LIPiS6," Female, 15-18yrs, Male d"
pWAxXCIG6Og," Female, 15-18yrs, Male d"
TU2eUcH5Jg0," Female, 15-44 yrs, A"
O3nWXMBD0cL," Female, 15-44 yrs, D"
fDce9OVthqj," Female, 18-49Yrs"
IrHic2SDEKv," Female, 2-5 yrs, Female D"
uHoXZQUhxFY," Female, 2-5 yrs, Female D"
PzkRfxD8ThE," Female, 2-5 yrs, Male d"
v6Fjx7dEgfS," Female, 2-5 yrs, Male d"
MarBGgvPzA9," Female, 45+ yrs, A"
eoWv994UWKz," Female, 45+ yrs, D"
GDLkc18FKBn," Female, 5-14 Yrs"
g5AoiDJV1yZ," Female, 5-14 yrs, A"
S3CexwmzDqA," Female, 5-14 yrs, D"
hXtjmuYPdCx," Female, 50 Yrs and above"
AGCcqCjg9qm," Female, 6-10 yrs, Female D"
mL3QZzjDPwK," Female, 6-10 yrs, Female D"
Wvc5iDiResV," Female, 6-10 yrs, Male d"
WZZ3i2LeM1N," Female, 6-10 yrs, Male d"
R06gsE6onr5," Female, <1 yrs, A"
JOyY31TLpbu," Female, <1 yrs, D"
F9toCCaFVDN," Female, <15  Years"
WOfqQncLxD9," Female, >15  Years"
SbesAZF7jwi," Female, ECD Children dewormed, Female D"
wkumrLWVGfA," Female, ECD Children dewormed, Female D"
DY314vo4YRp," Female, ECD Children dewormed, Male d"
qtt6hBRLLGD," Female, ECD Children dewormed, Male d"
L1kLKLmJEcj," Female, ESA Children dewormed, Female D"
x84F5SO4jio," Female, ESA Children dewormed, Female D"
LAtDskOvaUI," Female, ESA Children dewormed, Male d"
t0biwyI6Du3," Female, ESA Children dewormed, Male d"
TO9HDGQF6v9," Female, New"
wAUaLma0ich," Female, Re-visits"
G9ZY0wAH5Km," Female, Under 5 yrs"
tiGYmPuKonG, Forum for Community Mobilization Fofcom 
wmkdAELJdpg, GREENOLA INTERNATIONAL COMPANY
G1kkvTGBGic, Happy Church Ministries Seretut
tViql3LL4sm, Happy Church Ministries Seretut
u6THV3e1M1Z, Happy Church Ministries Seretut
fxXNsn1ppIe," Initial Screening, 25-49"
r1itkRYXnZh," Initial Screening, 50 years and above"
bSFRz4appAT," Initial Screening, <25"
ngLaZ5bZjHl, K.C.K.K. DISABLE GROUP
TT5AERiVAsT, K.C.K.K. Disable Group
i3VYN6u6NO4, KAPTEBENGWO HIV/AIDS GROUP
Vs3Cn3FFrIg, KESETE KAMUINGI YOUTH  GROUP
cWJrgOVWuS0, Kesete Kamuingi Youth  Group
lPUfs4fvslz, Male
QDtbefFGtST, Male
rYGRT4fJb7t, Male
hlhUHnyACOq," Male, 0-4 yrs"
k7FWHm8sXJe," Male, 10-14 yrs"
HPH2UdyyQPT," Male, 11-14 yrs, Female D"
v2NTiRniB8a," Male, 11-14 yrs, Female D"
c5tCUtyuCUq," Male, 11-14 yrs, Male d"
YqMJCe4Pjzn," Male, 11-14 yrs, Male d"
n9tEqoP9upK," Male, 15-18yrs, Female D"
ucYJurXZaBj," Male, 15-18yrs, Female D"
BPnYUHiyduE," Male, 15-18yrs, Male d"
BTU0ZFZD5us," Male, 15-18yrs, Male d"
tcwNtG8bSB6," Male, 15-24 yrs"
CJilUzs93NK," Male, 2-5 yrs, Female D"
gglm9BhpAMh," Male, 2-5 yrs, Female D"
MxpYsWJHS5l," Male, 2-5 yrs, Male d"
xw159Om7Mv5," Male, 2-5 yrs, Male d"
G2OPEvkOU1o," Male, 25-34 yrs"
WjpaHL85j7i," Male, 35-44 yrs"
sixeUKAnr1t," Male, 45-54 yrs"
wMcrpasCFIA," Male, 5-9 yrs"
ShAKT2Lwht6," Male, 55-64 yrs"
hyoK6qnbg9Y," Male, 6-10 yrs, Female D"
jszK8OCEGU5," Male, 6-10 yrs, Female D"
TY4iuWjoEH2," Male, 6-10 yrs, Male d"
xX6GATfeuWn," Male, 6-10 yrs, Male d"
wfjn4hvyiBX," Male, 65+ yrs"
GGrBNkP7hUa," Male, ECD Children dewormed, Female D"
SaoaxKBaMXF," Male, ECD Children dewormed, Female D"
HBUmVKXi58p," Male, ECD Children dewormed, Male d"
JL01A2oo9vB," Male, ECD Children dewormed, Male d"
hr7hLkTy2H8," Male, ESA Children dewormed, Female D"
iaV45SWTrx1," Male, ESA Children dewormed, Female D"
lOv5QCcRSC5," Male, ESA Children dewormed, Male d"
ua9jNI77rjD," Male, ESA Children dewormed, Male d"
PTaHBUpzzX8," Male, Total"
pCEXeRegJUR, Nadumu Ntomonok
e0doNXli4Lu, Norm
E1bXdtQf3Ze, Number Positive 
f8v6kH3vWhX, Number Positive 
h9lHVW2oKL6, Number Positive 
jd9zjgvqN8q, Number Positive 
MrbdN9NT3vX, Number Positive 
nwpzSJ8o7hD, Number Positive 
oSuTfMinQIm, Number Positive 
QEug59W3zu1, Number Positive 
S3zsohEBYPD, Number Positive 
SJa8nlqm2qh, Number Positive 
snus2Q1IB3J, Number Positive 
UMTthqSok4i, Number Positive 
uTDGJIBmWu1, Number Positive 
v1ELCyGB2E3, Number Positive 
VEI1ryMCZhN, Number Positive 
wHUyOdjNM9o, Number Positive 
Wn3LCHVkLhO, Number Positive 
WuP0FUWRi1p, Number Positive 
xSeqCmvkdHR, Number Positive 
b0XKzBGiDCt," Number Positive , Total Exam"
C3pEEJgUYE5," Number Positive , Total Exam"
gJfURZLvtZx," Number Positive , Total Exam"
hp7qhZLLOXT," Number Positive , Total Exam"
Tsq7TvtB26r," Number Positive , Total Exam"
xdQZM3RkN5m," Number Positive , Total Exam"
XQZke9e0bja," Number Positive , Total Exam"
Dm0lGA8Q9NR, RORET WOMEN ECONOMIC EMPOWERMENT
natUIdg5SjU, Roret Women Economic Empowerment
j6ez0BGZI8c, Total Evaluated
oTxLi0v4fb1, Total Evaluated
pyKjWe5eTPX, Total Evaluated
SANPbqKlf6K, Total Evaluated
scJY5NaBPJQ, Total Evaluated
ufORzeLtcEl, Total Evaluated
wiD5SVABQHR, Total Evaluated
Z5hHUGiaOh4, Total Evaluated
Y0ihCrfNTiA,+ve Adjustments(Received from other facilities)
gL73oXGUPrA,-ve Adjustments(Given to other facilities)
poSlCI9pMp5,0 to 3
iJYRsFhxyLb,0-1000cp//ml
kK3FQcj7lrF,0-11 months
iAJuNkr5Qnn,"0-11 months, Female"
NqEtKTNqN3n,"0-11 months, Male"
VXA6MsmIx6b,"0-11 months, Not Zero dose"
jJunUl8bg6i,"0-11 months, Zero dose"
zzAXh0LXNex,0-11Yrs
uBqaq5fWcu8,"0-11Yrs,  Female"
cbRwWSFNWLT,"0-11Yrs, Male"
aBnP9FWmNqX,0-14yrs Female
itWIStXwjZ0,0-14yrs Female
NK1ogtl3Jl6,0-14yrs Female
OGPH0tPFbF0,0-14yrs Female
AEO0275kbWj,0-14yrs Male
gGpxpX6DGgp,0-14yrs Male
JDp9ibRkxbJ,0-14yrs Male
xPX7gtPWl5O,0-14yrs Male
Ujaivce0IUI,0-18 years
Xy8ZOwwkRdu,"0-18 years, Female"
SdcIOeT93QV,"0-18 years, Male"
dmhRJwdjWKM,"0-4 ,  M"
yEBzAvrGk7v,"0-4 , F"
bIlwi4SfM6B,0-4 yrs
C6KAnYWiFFx,"0-4 yrs,  Female"
csoVk5Inqyf,"0-4 yrs,  Female"
G10nUGgXaEr,"0-4 yrs,  Female"
huQkMI58rTH,"0-4 yrs,  Female"
OjYZTWEtCga,"0-4 yrs,  Female"
T3tj7Ft5QDf,"0-4 yrs,  Female"
TlNp1O3IFLH,"0-4 yrs,  Female"
Uabh84uPi7H,"0-4 yrs,  Female"
mShPtMKrbn3,"0-4 yrs, F"
aeaBRazWzNN,"0-4 yrs, Female"
i1bqxejIrHr,"0-4 yrs, Female"
QJyyv032woP,"0-4 yrs, Female"
s4H6X5naxLV,"0-4 yrs, Female"
XfC4UKo2S90,"0-4 yrs, Female"
Yxw9QKUWiK0,"0-4 yrs, Female"
k6pLc73EqHg,"0-4 yrs, M"
aMuCTtsCExv,"0-4 yrs, Male"
fhT8fgJakYG,"0-4 yrs, Male"
Fw2DmrVqy8w,"0-4 yrs, Male"
HBvawhOuugG,"0-4 yrs, Male"
IswslP1mO8S,"0-4 yrs, Male"
kphbv7UBPkp,"0-4 yrs, Male"
MxTZCl1AWYc,"0-4 yrs, Male"
NpSNflz7fdE,"0-4 yrs, Male"
RjoAm40yR9f,"0-4 yrs, Male"
s2OmCDW5YRb,"0-4 yrs, Male"
t3Dx4CbS7yr,"0-4 yrs, Male"
ucF9NLX8hNx,"0-4 yrs, Male"
WAkY9u5SyB5,"0-4 yrs, Male"
DIaOxOJEALb,0-5 years
wJvZkYigRSg,"0-5 years, Female"
E0GzA5zAvpz,"0-5 years, Male"
lZn5yP60tr1,"0-5 yrs, Female"
ue0latBctf4,"0-5 yrs, Male"
aplT0xfwBVk,0-59 months
bV7S9pfh2gV,0-59 months (Negative)
ha74upA21qa,0-59 months (Negative)
SQiIWLoj5Yw,0-59 months (Negative)
T5JcMICCpaX,0-59 months (Negative)
zLgQdxTACeP,0-59 months (Negative)
f64u1CuuLtw,0-59 months (Positive)
is7DkgRLwoJ,0-59 months (Positive)
kdhnOMPaSnI,0-59 months (Positive)
r9MIUL2Dw5y,0-59 months (Positive)
s1fesbImmwY,0-59 months (Positive)
m48bQRSKzZQ,0-59 mths
Z9Ljeafp6Uf,0-59 mths
CuMG5YBsnQq,"0-9 Years, Female, New"
holZk3EaqIx,"0-9 Years, Female, Revisits"
fOfxucEDolz,"0-9 Years, Male, New"
joYkZip1BOt,"0-9 Years, Male, Revisits"
JBSlYvr9s56,0-9 years Female
TC9PI8f9SS6,0-9 years Female
VSAiVgOsDZ9,0-9 years Male
ZwXvOPs3m66,0-9 years Male
GY3d7gUKxBW,0-9 yrs
lbsTP5Gq8A5,"0-9 yrs, Female"
drmXSe2LDsd,"0-9 yrs, Male"
fOiuSzQlC4p,0WEP-Ogiek women empowerment program
ZPXtZov5vCM,0wep-Ogiek Women Empowerment Program
W9aAVGjm7na,1
HV7h6IdF95Y,"1 month - 12 months, Female"
DuatpHrncT0,"1 month - 12 months, Male"
mII7hEvtQoy,"1-4 yrs, A"
eWr37mdO9gg,"1-4 yrs, D"
CO37thcmGlP,1-9 yr
gTzKy4LS0l7,"1-9 yrs, Female"
Yg1zqrAT9mS,"1-9 yrs, Male"
HhY0NP4z8DV,10 - 14 Years Female
wBV76qaVh00,10 - 14 Years Female
g5OR5EseQND,10 - 14 Years Male
N86LcAMzXLI,10 - 14 Years Male
DghKUn4iaFK,10 to <15 kg
h9407ByGv89,10 to <15 kg
Ew8CmwupobS,"10- 19 Yrs,  Female"
cccwUK5mNLw,"10- 19 Yrs,  Male"
VhQdw9vK2Ev,"10- 19 Yrs, Female"
efgOBCklML2,"10- 19 Yrs, Male"
j7BQCMpz4rS,"10-14 ,  M"
qTcxKIIQY3g,"10-14 , F"
ntq48iP7ZyD,10-14 yrs
ug54GDrcDDZ,10-14 yrs
dtfOBlm6NRK,"10-14 yrs,  Female"
EWs9lRoY5Ur,"10-14 yrs,  Female"
KSbK0EGny6C,"10-14 yrs,  Female"
mU0APcY5Qed,"10-14 yrs,  Female"
oem172Y2TiY,"10-14 yrs,  Female"
vWP3z9OBZze,"10-14 yrs,  Female"
WmFFFwhNPV0,"10-14 yrs,  Female"
XaD0YppUhI0,"10-14 yrs,  Female"
yJrgqCjL8sI,"10-14 yrs,  Female"
evzSmUUZM1g,"10-14 yrs, F"
dEP3OsFW1fS,"10-14 yrs, Female"
FLWTNX2Qen8,"10-14 yrs, Female"
GdcQWh5YGKA,"10-14 yrs, Female"
KwQazknW2Lt,"10-14 yrs, Female"
qU9vg8cE64g,"10-14 yrs, Female"
SQn8QQNE2j7,"10-14 yrs, Female"
sp5O3uieiaL,"10-14 yrs, M"
cMvQi0pgB3Q,"10-14 yrs, Male"
eU6HscLd4tX,"10-14 yrs, Male"
G6ceu1GBJQc,"10-14 yrs, Male"
gKLYDFU4mSV,"10-14 yrs, Male"
jjOCh9692OW,"10-14 yrs, Male"
KBP7apzvacx,"10-14 yrs, Male"
LFrwdJHH5S5,"10-14 yrs, Male"
lR7fYUoEIK6,"10-14 yrs, Male"
MZ5Wjt7SiM0,"10-14 yrs, Male"
nERq2SvmEF5,"10-14 yrs, Male"
OrNH7YieR9H,"10-14 yrs, Male"
umdkjFAWsrI,"10-14 yrs, Male"
wleUFd9NDuZ,"10-14 yrs, Male"
d0OuDX2lHIV,10-17 yrs
ByrQMv6BSzA,"10-18 Years, Female, New"
sKnR5sXLZGJ,"10-18 Years, Female, Revisits"
pV8UrTqSP0J,"10-18 Years, Male, New"
LM9Kc8XNRkl,"10-18 Years, Male, Revisits"
lVcedQr3efF,"11-14 yrs, Female D"
nW8sJJQI1pP,"11-14 yrs, Female D"
NTE7DD9Q2nd,"11-14 yrs, Male d"
X1MO84Nn9Xh,"11-14 yrs, Male d"
CYJgKpBCdHc,12 - 17 Yrs
X9YfvfPH3Bc,"12 - 17 Yrs, F"
qfPSpoOjnZg,"12 - 17 Yrs, M  "
QakHhI5NOh7,12-17Yrs
omXO5G9OFcj,"12-17Yrs,  Female"
mJYIGbFwYmw,"12-17Yrs, Male"
KZ9x8Y8xkG3,12-59 months
msXVfmB2LaF,"12-59 months, Female"
dSsztAUjPTV,"12-59 months, Male"
akj2mQINTLk,"12-59 months, Not Zero dose"
hJN7RTX0qPC,"12-59 months, Zero dose"
AeCiiC2Lmsj,"13-24 Years,  M"
tqzwh59c8Kc,"13-24 Years, F"
sMZxUblcEt2,"13-24 Years, I"
D5NkZ9X33pi,13-One Boosters Youth Group
ffzSnPNyMtA,"15 +,  Female"
H7t34LjiPc0,"15 +, Male"
JBggQ4AQC4d,"15 - 18 Years,  Female"
toyS3GvBwUz,"15 - 18 Years, Male"
FqeVuyjF8pp,15 - 19 Years Female
pZ0BnAz7nFj,15 - 19 Years Female
Fq3aBpRRyzR,15 - 19 Years Male
FZkPOaVrGec,15 - 19 Years Male
Y91nbvpppbG,15 - 24kgs
wj89ixynauW,"15 and above,  Female"
krhdBvQLY5b,"15 and above,  Male"
EjStN2UnKW5,15 to <20 Kg
JKSE31Fun5P,15 to <20 Kg
nMdzDFMrcWt,15 yrs and Above 
ow3SDDE0OVE,"15 yrs and Above ,  Female"
S3iFcVxRxsx,"15 yrs and Above ,  Female"
wRaTCyFr91C,"15 yrs and Above , Male"
yZiDR1q08qf,"15 yrs and Above , Male"
t48y6234lLY,15 yrs and above
ulEv6U9mDdg,15-17 years
TTotFCnKPK4,"15-17 years, F"
q8AmRkhUrVg,"15-17 years, M  "
QYQ4kE4RYoK,"15-18yrs, Female D"
ZRiC5ccd5ep,"15-18yrs, Female D"
E5iwvtlk54R,"15-18yrs, Male d"
I21D6qmLk2B,"15-18yrs, Male d"
BullOKfzSxI,"15-19 years, DC'S, Female"
nmfmaDEIrSL,"15-19 years, DC'S, Male"
Msbcy4OkAFx,"15-19 years, Fisher Folk, Female"
B8DrsTE1J4Z,"15-19 years, Fisher Folk, Male"
TvAj6iyGnmS,"15-19 years, Inmates, Female"
Ly1Uw1qrXf2,"15-19 years, Inmates, Male"
q1URu02WA5m,"15-19 years, Truckers, Female"
YMkAHJACvd3,"15-19 years, Truckers, Male"
dNGMDvRfmyn,"15-19,  Female"
LQmCG8F9c0g,"15-19,  Female"
TIDrjy0hw7d,"15-19,  Female"
BZZwLdloEJO,"15-19,  M"
CvskGaM6Nr5,"15-19, F"
m0mDmQ5uJLK,"15-19, F"
IqQ9Pgr5mZI,"15-19, Female"
sraE4rIg9VH,"15-19, Female"
k7Dn1TqHa1B,"15-19, M"
NW2qHUu1dK8,"15-19, Male"
RLCIPLfu2f6,"15-19, Male"
xdOrMj2W9Ba,"15-19, Male"
zIYfBTRncpm,"15-19, Male"
ZKbW6MLnAcC,"15-19, Male"
pv4aUNFB8PK,15-19yrs
mY47voehJDV,"15-19yrs, F"
l1Gsic4QzCw,"15-19yrs, M"
LslTuQby46F,"15-24 Years,  Female"
sXgcr8o6TqL,"15-24 Years, Male"
Nvydn6IG0Hn,15-24 yrs
HyzI22MRyzB,15-24 yrs Female
OMX7JY2b2sf,15-24 yrs Female
v2uMk1PdFoa,15-24 yrs Female
YztzhRbA3i2,15-24 yrs Female
cIX19F2DLoY,15-24 yrs Male
XDI59BLaKeA,15-24 yrs Male
YiujP1Fe80R,15-24 yrs Male
YMnpVVjN7ow,15-24 yrs Male
fK9az5nQU6r,"15-24 yrs,  Female"
fsdaiRpFCS3,"15-24 yrs,  Female"
LjO5ViUj4oj,"15-24 yrs,  Female"
LqFcx6hdAUJ,"15-24 yrs,  Female"
MKcIBIvOxIw,"15-24 yrs,  Female"
qNgThqDslIz,"15-24 yrs,  Female"
uAiQh60Kcfp,"15-24 yrs,  Female"
vviBVOhXywA,"15-24 yrs,  Female"
w0MFVNvTVj8,"15-24 yrs,  Female"
WDafWKWrI84,"15-24 yrs, F"
fdbQpxPRkDp,"15-24 yrs, Female"
H7wLnLA94Jv,"15-24 yrs, Female"
NYanuwEamN3,"15-24 yrs, Female"
ppmkYfmt9lA,"15-24 yrs, Female"
Ps49qMSDYU1,"15-24 yrs, Female"
bvvGm4SkxGX,"15-24 yrs, M"
AJrP88UXRfL,"15-24 yrs, Male"
DG527wC47kn,"15-24 yrs, Male"
kdDkJth3WAq,"15-24 yrs, Male"
KpUvVVeDjSI,"15-24 yrs, Male"
lXTPX0Hsppo,"15-24 yrs, Male"
mcFhGXalNcj,"15-24 yrs, Male"
PQX4ukEKAh3,"15-24 yrs, Male"
PUdal28bNLT,"15-24 yrs, Male"
rDj5t9ErQsX,"15-24 yrs, Male"
RTsySeAaept,"15-24 yrs, Male"
uVKy0xPBHYn,"15-24 yrs, Male"
xkYaannULrp,"15-24 yrs, Male"
LJxQqNNvbtM,15-24yrs
kalH4VCOTsV,"15-44 yrs, A"
qmG65hJWokj,"15-44 yrs, D"
gcVpRE02965,17. Kanyariri Social Life Programme Group
LkGt7Z4CeY8,"18 - 24, F"
OfZG3d4UTEe,"18 - 24, M  "
Sy5Mpww3asL,18 - 25
HO0EhCMnB2t,18-49Yrs
rrUc6PCx85M,18-49Yrs
ISu2Em2IESk,"18-49Yrs,  Female"
WBODZRfDuab,"18-49Yrs, Male"
bzyQ0AJFOp5,18-59 Years
xm6CFkCU2py,"18-59 Years, F"
BVGqJqCSkAt,"18-59 Years, M  "
gcVpRE02966,18. Thayu Focus Group
c0ketZ2YS2X,"19-24 Years, Female, New"
cCvVMr685Lg,"19-24 Years, Female, Revisits"
Kg2tjGzgDj4,"19-24 Years, Male, New"
vL1LaGwzDif,"19-24 Years, Male, Revisits"
AAWlkMIsrvd,19-35 years
NEGkkXYvR4B,19-35 years
ZgmoZE464Zm,19-35 years
qrYlrZQKoPd,"19-35 years, Female"
ToS2OB9MTZ2,"19-35 years, Female"
FjF5bJMxnPH,"19-35 years, Male"
MentLzXb9G7,"19-35 years, Male"
gcVpRE02967,19. Wangige Humble Sisters Cbo
gcVpRE03100,1967 S.H.G.
q0UVY9w3vMC,1ZONE BOOSTERS YOUTH GROUP
xuXWsyS4it0,1st Changamwe Air Scouts Air troop
z0ldVhlZClr,1st Changamwe Air Scouts Air troop
nYnnLevxuXP,1st Dose
vpZX9xqTPp8,"1yr - 5yrs, Female"
GTzeLad3TtG,"1yr - 5yrs, Male"
E08yaViJ0Lb,2
W5ifzCzlCDG,2
rlRvlZr4Bjp,"2 - 5 Years,  Female"
HuPe2PZJlbu,"2 - 5 Years, Male"
FbzmZ8RHhp3,2-3 Year
j0hdvImuE8N,"2-5 yrs, Female D"
Y9pZNSj4Ubg,"2-5 yrs, Female D"
iESwRMjtI7j,"2-5 yrs, Male d"
pxXTO8yhJy4,"2-5 yrs, Male d"
xLgiN6FVJYA,2-9yrs
eqON9vpHItH,20 - 24 Years Female
NLMXUWCbcWH,20 - 24 Years Female
B9qhGgQ5dTe,20 - 24 Years Male
TJO6NnszxwI,20 - 24 Years Male
adxsuXGvNCp,20 to 25 kg
vvw3hDUEbjV,20 to 25 kg
iBM4AHQ9F88,20 yrs +
idgxCLbI0Nv,"20- 29 Yrs,  Female"
Q1ghtaVPQBK,"20- 29 Yrs,  Male"
YB9ZB02BsRF,"20- 29 Yrs, Female"
tMthsnKvi8e,"20- 29 Yrs, Male"
JAOLwpmBceG,"20-24 Years,  Female"
wneIAkpGsSH,"20-24 Years,  Female"
ZInhniEaCCc,"20-24 Years,  Female"
moCfkmUbbFB,"20-24 Years, DC'S, Female"
WT9NQoIx0f7,"20-24 Years, DC'S, Male"
S6bQFZJIL0I,"20-24 Years, F"
hipCW8yhAri,"20-24 Years, Female"
zE8Bz9GRDDG,"20-24 Years, Female"
