name,id,shortName,domainType,formName,valueType,categoryCombo.id
 PIRI Measles-Rubella 2 dose administered to over 2 years,ATUxNdsogGp, PIRI MR 2 dose administered to over 2 years,AGGREGATE,MR 2 administered to over 2 years,INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
 PIRI Measles-Rubella dose 1 administered to over 1year,ObcRQD9jAh5, PIRI MR 1 administered to over 1year,AGGREGATE, MR 1 dose administered to over 1 year,INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
 Rabies dose 2 Administered.,Ov9dNFZuOhD, Rabies dose 2 Administered.,AGGREGATE,Rabies dose 2 Administered.,NUMBER,QXAOGLLlPzW
 Revisiting ART Initiated,mFEFEdtCEjM, Revisiting ART Initiated,AGGREGATE, Revisiting ART Initiated,NUMBER,dIl0t3IrNLg
 SSISurv-CS Performed by  Consultants,dsBHTvn6sYV,SSISurv-CS Performed by  Consultants,AGGREGATE,24. CS Performed by  Consultants	,INTEGER_ZERO_OR_POSITIVE,prIekldaYWV
 Was resuscitation done,c2zjIWQ7y0e, Was resuscitation done,TRACKER, Was resuscitation done,TEXT,OzshuDqmXQI
 avenir_mcpr_mics,Ddm4mT9ciLw, avenir_mcpr_mics,AGGREGATE,MICS mCPR,NUMBER,lOGPYvhMqtv
 avenir_prevalence_iud_coppert,iP2N025fL08, avenir_prevalence_iud_coppert,AGGREGATE,IUD (Copper-T),NUMBER,vjQaGNyJEqr
 avenir_prevalence_pill_pop,oWfijqCqWKx, avenir_prevalence_pill_pop,AGGREGATE,Pill (Progestin Only : POP),NUMBER,vjQaGNyJEqr
 best describes how satisfied you are with the privacy accorded to you by the health workers of this health facility,lF7GlPJq6xr, best describes how satisfied you are with the pri,TRACKER,SARAMC  Which of the following would you say best describes how satisfied you are with the privacy accorded to you by the health workers of this health facility during the time they attended to you?,INTEGER,OzshuDqmXQI
(Facility number),mzAOzq8Prbi,(Facility number),TRACKER,(Facility number),INTEGER,OzshuDqmXQI
0000000 INCOME & EXPENDITURE STATEMENT,RvNJvXCx4El,0000000 INCOME & EXPENDITURE STATEMENT,AGGREGATE,0000000 INCOME & EXPENDITURE STATEMENT,NUMBER,OzshuDqmXQI
1. Action points by facility ,gY6YOS7S6bk,1. Action points by facility ,TRACKER,1. Action points by facility ,LONG_TEXT,OzshuDqmXQI
1. New (N),RvJCOxUJ3Jn,1. New (N),AGGREGATE,1. New (N),NUMBER,pFQ7rAd4b5t
1. Responsible Person ,Fej7Xt6RATF,1. Responsible Person ,TRACKER,1. Responsible Person ,LONG_TEXT,OzshuDqmXQI
1. Results at 2 months ,lV2GeKQKPw7,1. Results at 2 months ,AGGREGATE,1. Results at 2 months ,NUMBER,gQHAh67d3bm
1. Timeframe,WoCrj0bMG6J,1. Timeframe,TRACKER,1. Timeframe,LONG_TEXT,OzshuDqmXQI
1. Type of resistance,zVIv5xsY92B,1. Type of resistance,AGGREGATE,1. Type of resistance,INTEGER_POSITIVE,UheHlwUK9Zo
1.1 Management and clinical meetings are held on a monthly basis ,dEhdpfwXkl1,Management and clinical meetings,TRACKER,1.1 Management and clinical meetings are held on a monthly basis ,NUMBER,OzshuDqmXQI
1.1 Total premises (as per field register),oKeuAFRguJ1,1.1 Total premises (as per field register),AGGREGATE,,NUMBER,fsjkGeJmVbC
1.10 A clear policy guiding Internships is in place,u3b3orYBYUe,1.10  clear policy guiding Internships,TRACKER,1.10 A clear policy guiding Internships is in place,NUMBER,OzshuDqmXQI
1.11 Supportive supervision/trainings for lower facilities are managed as an integral part of quality improvement,imBWk4jfffV,Supportive supervision/trainings for low,TRACKER,1.11 Supportive supervision/trainings for lower facilities are managed as an integral part of quality improvement,NUMBER,OzshuDqmXQI
1.12 Evidence of expenditure on Supportive Supervision is demonstrated,NyxeF9ZaJhg,Evidence of expenditure on Supportive,TRACKER,1.12 Evidence of expenditure on Supportive Supervision is demonstrated,NUMBER,OzshuDqmXQI
1.2 Leaders take ownership and recognize their role in Quality Management and Improvement ,PPD7MpNwTZ9,Leaders take ownership and recognize,TRACKER,1.2 Leaders take ownership and recognize their role in Quality Management and Improvement ,NUMBER,OzshuDqmXQI
1.2 No. of premises inspected,zW8dtRnkH7z,1.2 No. of premises inspected,AGGREGATE,,NUMBER,fsjkGeJmVbC
1.3 Leaders promote a quality culture of continuous improvement,dMNEJBmnjAR,1.3 Leaders promote a quality culture,TRACKER,1.3 Leaders promote a quality culture of continuous improvement,NUMBER,OzshuDqmXQI
1.3 No. of Food Hygiene Licences issued by MOH Hqs (Cum. since January current year),gN2XBT1KjLs,1.3 No. of Food Hygiene Licences issued by MOH Hqs,AGGREGATE,No. of Food Hygiene Licences issued by MOH Hqs (Cum. since January current year),NUMBER,fsjkGeJmVbC
1.4 Leaders have established a Quality Assurance unit ,tuPZop4qifu,Leaders have established a Quality Assur,TRACKER,1.4 Leaders have established a Quality Assurance unit ,NUMBER,OzshuDqmXQI
1.4 No. of premises licensed,gsU4ZfPOP6c,1.4 No. of premises licensed,AGGREGATE,No. of premises licensed,NUMBER,fsjkGeJmVbC
1.5 Documented evidence of the performance of Quality Assurance Unit,ThmmNHsYi0d,1.5 Documented evidence of the performan,TRACKER,1.5 Documented evidence of the performance of Quality Assurance Unit,NUMBER,OzshuDqmXQI
1.5 No. of premises served with intimation,A9lPMktBqwW,1.5 No. of premises served with intimation,AGGREGATE,No. of premises served with intimation,NUMBER,fsjkGeJmVbC
1.6 No. of previous intimation notices complied with,KIxgxhvjKLI,1.6 No. of previous intimation notices complied wi,AGGREGATE,No. of previous intimation notices complied with,NUMBER,fsjkGeJmVbC
1.6 Top management review the quality management system periodically,OORAMyrC9oe,1.6 Top management review the quality,TRACKER,1.6 Top management review the quality management system periodically,NUMBER,OzshuDqmXQI
1.7 The quality management review agenda is comprehensive ,Q3YOpmV5XhX,.7 The quality management review agenda ,TRACKER,1.7 The quality management review agenda is comprehensive ,NUMBER,OzshuDqmXQI
1.8 Quality Management review ,NyokSyTDNCp,1.8 Quality Management review meeting,AGGREGATE,1.8 Quality Management,NUMBER,OzshuDqmXQI
"1.8 Quality Management review meetings arrive at concrete decisions, allocate resources and document them.",U8rTekZLxfB,1.8 Quality Management review meetings,TRACKER,"1.8 Quality Management review meetings arrive at concrete decisions, allocate resources and document them.",NUMBER,OzshuDqmXQI
1.9 A clear policy and guidelines guiding training of health workers is in place,uleiILnzaNj,1.9 clear policy and guidelines guiding,TRACKER,1.9 A clear policy and guidelines guiding training of health workers is in place,NUMBER,OzshuDqmXQI
10. New EPTB,jJSUs0JbSra,10. New EPTB,AGGREGATE,10. New EPTB,NUMBER,AyNPLW6D7ha
10. Previously treated with first-line drugs only (FFT),ibg6xyK50Wy,10. Previously treated,AGGREGATE,10. Previously treated with first-line drugs only (FFT),NUMBER,pFQ7rAd4b5t
10. Results at 5 months,Itz1YcJaRnD,10. Results at 5 months,AGGREGATE,10. Results at 5 months,NUMBER,gQHAh67d3bm
10.1 Residential,tZ3qTxyRK6U,10.1 Residential,AGGREGATE,,NUMBER,Vwvrorj8sPo
10.1 The facility has a sound fnancial plan that is adequately funded,oYdxcqRWRKh,10.1 The facility has a sound fnancial ,TRACKER,10.1 The facility has a sound fnancial plan that is adequately funded,NUMBER,OzshuDqmXQI
10.2 Commercial,PQNav0azEH1,10.2 Commercial,AGGREGATE,,INTEGER_ZERO_OR_POSITIVE,Vwvrorj8sPo
10.2 Financial resources are provided and used towards Quality Management and Continuous Quality Improvement programmes,OnDAptBbNIj,10.2 Financial resources are provided,TRACKER,10.2 Financial resources are provided and used towards Quality Management and Continuous Quality Improvement programmes,NUMBER,OzshuDqmXQI
"10.3 Availability of updated fee structure, strategically and prominently displayed",UXQgaCoSP7f,10.3 Availability of updated fee structu,TRACKER,"10.3 Availability of updated fee structure, strategically and prominently displayed",NUMBER,OzshuDqmXQI
10.3 Institutional,FGHsa8bdDE5,10.3 Institutional,AGGREGATE,,INTEGER_ZERO_OR_POSITIVE,Vwvrorj8sPo
10.4 Facility improvement/ Quality management funds are effciently used and monitored in line with MoH guidelines or equivalent,y9uinyIRBW0,10.4 Facility improvement/ Quality manag,TRACKER,10.4 Facility improvement/ Quality management funds are effciently used and monitored in line with MoH guidelines or equivalent,NUMBER,OzshuDqmXQI
10.4 Others,Ru4P2LVGiQH,10.4 Others,AGGREGATE,,INTEGER_ZERO_OR_POSITIVE,Vwvrorj8sPo
1000000 Income/Revenue,zo5v2sL2Pcz,1000000 Income/Revenue,AGGREGATE,1000000 Income/Revenue,NUMBER,OzshuDqmXQI
11. Number Tested for HIV (New EPTB),tZYhz9UkfxJ,No. tested for HIV (EPTB),AGGREGATE,11. Number Tested for HIV (New EPTB),NUMBER,AyNPLW6D7ha
11. Previously treated with both first- and second-line drugs (FRT),WJvAiaGmiPM,11. Previously treated,AGGREGATE,11. Previously treated with both first- and second-line drugs (FRT),NUMBER,pFQ7rAd4b5t
11. Results at 8 months,GrbulyNy9r0,11. Results at 8 months,AGGREGATE,11. Results at 8 months,NUMBER,gQHAh67d3bm
11.1 No of health facilities (as per field register),KPXpN0gmyDY,11.1 No of health facilities (as per field registe,AGGREGATE,,NUMBER,spLR731EyBC
11.1 Standard operating procedures are available for each department/unit,KQfvIWREywJ,11.1 Standard operating procedures,TRACKER,11.1 Standard operating procedures are available for each department/unit,NUMBER,OzshuDqmXQI
11.2 No. of premises licensed,GvgBiM1Zt1r,11.2 No. of premises licensed,AGGREGATE,,NUMBER,spLR731EyBC
11.2 Providers know and use standard treatment guidelines and protocols.,mAzawEn7QdS,11.2 Providers know and use standard,TRACKER,11.2 Providers know and use standard treatment guidelines and protocols.,NUMBER,OzshuDqmXQI
11.3 Job aids for complex tasks and procedures are available and used,SGi5g5Lm0tV,11.3 Job aids for complex tasks,TRACKER,11.3 Job aids for complex tasks and procedures are available and used,NUMBER,OzshuDqmXQI
11.3 No. of premises inspected,AP0KBdeexSO,11.3 No. of premises inspected,AGGREGATE,,NUMBER,spLR731EyBC
11.4 No. of premises served with intimation notices,EqlIdLI34Oj,11.4 No. of premises served with intimation notice,AGGREGATE,,NUMBER,spLR731EyBC
11.4 Patients’/clients’ perspective and rights are observed and respected.,fWe0hVQkqMO,11.4 Patients’/clients’ perspective,TRACKER,11.4 Patients’/clients’ perspective and rights are observed and respected.,NUMBER,OzshuDqmXQI
11.4.1 Problem Identifcation and priority setting,duMWLYSncmW,11.4.1 Problem Identifcation and priorit,TRACKER,11.4.1 Problem Identifcation and priority setting,NUMBER,OzshuDqmXQI
11.4.2 PLAN,CYwROOSzxIx,11.4.2 PLAN,TRACKER,11.4.2 PLAN,NUMBER,OzshuDqmXQI
11.4.3 DO,Tmj8q7Spfnc,11.4.3 DO,TRACKER,11.4.3 DO,NUMBER,OzshuDqmXQI
11.4.4 CHECK,m4RpD2hvoT4,11.4.4 CHECK,TRACKER,11.4.4 CHECK,NUMBER,OzshuDqmXQI
11.4.5 ACT,gSi0UrHia7y,11.4.5 ACT,TRACKER,11.4.5 ACT,NUMBER,OzshuDqmXQI
11.5 Documented evidence of the implementation of the following programmes,DfceVEY1Uq0,11.5 Documented evidence of the implemen,TRACKER,11.5 Documented evidence of the implementation of the following programmes,NUMBER,OzshuDqmXQI
11.5 No. of previous  intimation notices complied,TnDO4GeRbp6,11.5 No. of previous  intimation notices complied,AGGREGATE,,NUMBER,spLR731EyBC
11.5.1 Malaria ,myKiZ3J7sLM,11.5.1 Malaria ,TRACKER,11.5.1 Malaria ,NUMBER,OzshuDqmXQI
11.5.2 EPI,k3MaVFj6mfZ,11.5.2 EPI,TRACKER,11.5.2 EPI,NUMBER,OzshuDqmXQI
11.5.3 FP/RH,eQfeNTjUdEI,11.5.3 FP/RH,TRACKER,11.5.3 FP/RH,NUMBER,OzshuDqmXQI
11.5.4 HIV/AIDS/TB,qWIDqctEJdk,11.5.4 HIV/AIDS/TB,TRACKER,11.5.4 HIV/AIDS/TB,NUMBER,OzshuDqmXQI
11.5.5  IMCI,FuTPoQg8kOx,11.5.5  IMCI,TRACKER,11.5.5  IMCI,NUMBER,OzshuDqmXQI
11.5.6 Communicable Diseases,l9DoZ3BG7zf,11.5.6 Communicable Diseases,TRACKER,11.5.6 Communicable Diseases,NUMBER,OzshuDqmXQI
11.5.7 Other,wQaZve25A1o,11.5.7 Other,TRACKER,11.5.7 Other,NUMBER,OzshuDqmXQI
11.6 Evaluation reports are available,Z0OD7BCGzMs,11.6 Evaluation reports are available,TRACKER,11.6 Evaluation reports are available,NUMBER,OzshuDqmXQI
12. Number tested HIV+ (New EPTB),F7BQXT7ExEh,Number tested HIV+ (All),AGGREGATE,12. Number tested HIV+ (New EPTB),NUMBER,AyNPLW6D7ha
12. Results at 8 months HIV +,NP2XfjX1rKK,12.  8months -HIV +,AGGREGATE,12. Results at 8 months HIV +,NUMBER,gQHAh67d3bm
12.1 No of health facilities (as per field register),zmu9wtj3Ncg,12.1 No of health facilities (as per field registe,AGGREGATE,,NUMBER,VUMCf2X8TsQ
12.1.1 Patient/client results are assessed on a regular basis and considered,ZDCiwmEPDOv,12.1.1 Patient/client results are assess,TRACKER,12.1.1 Patient/client results are assessed on a regular basis and considered,NUMBER,OzshuDqmXQI
12.1.2 Mechanism for patient/client feedback in place. Patient/client satisfaction improving,FEKEDn0O6i5,12.1.2 Mechanism for patient/client feed,TRACKER,12.1.2 Mechanism for patient/client feedback in place. Patient/client satisfaction improving,NUMBER,OzshuDqmXQI
12.2 No. of premises licensed,iND61nCdm9Y,12.2 No. of premises licensed,AGGREGATE,,NUMBER,VUMCf2X8TsQ
12.2.1 Expenditure/revenue ratio,k4r5EMxqJPR,12.2.1 Expenditure/revenue ratio,TRACKER,12.2.1 Expenditure/revenue ratio,NUMBER,OzshuDqmXQI
12.2.2 Total financial resources in relation to number of beds,BAbG4T2OPmz,12.2.2 Total financial resources,TRACKER,12.2.2 Total financial resources in relation to number of beds,NUMBER,OzshuDqmXQI
12.2.3 Overall death rate (deaths/admission,beBhDkbLT83,12.2.3 Overall death rate (deaths/admiss,TRACKER,12.2.3 Overall death rate (deaths/admission,NUMBER,OzshuDqmXQI
12.2.4 Number of maternal death in  facility,qOcgA0lv2C5,12.2.4 Number of maternal death in  faci,TRACKER,12.2.4 Number of maternal death in  facility,NUMBER,OzshuDqmXQI
12.2.5 Deliveries,I3YYLhq8FwF,12.2.5 Deliveries,TRACKER,12.2.5 Deliveries,NUMBER,OzshuDqmXQI
12.2.6 Neonatal deaths,bv2gJiDLuO6,12.2.6 Neonatal deaths  ,TRACKER,12.2.6 Neonatal deaths,NUMBER,OzshuDqmXQI
12.2.7 Average length of Stay,RveZZeX801n,12.2.7 Average length of Stay,TRACKER,"",NUMBER,OzshuDqmXQI
12.3 No. of premises inspected,Gi2BtdlcAaW,12.3 No. of premises inspected,AGGREGATE,,NUMBER,VUMCf2X8TsQ
12.3 Progress and Performance of PHC Programmes.(where applicable),Rg1XDAACw5R,12.3 Progress and Performance of PHC,TRACKER,12.3 Progress and Performance of PHC Programmes.(where applicable),NUMBER,OzshuDqmXQI
12.3 The targets for the following programmes have been met,LtDYq0s1rRb,12.3 The targets for the following progr,TRACKER,12.3 The targets for the following programmes have been met,NUMBER,OzshuDqmXQI
"12.3,7 RH programme",lJO2h46NLq8,"12.3,7 RH programme",TRACKER,"12.3,7 RH programme",NUMBER,OzshuDqmXQI
12.3.1 EPI Programme,xqjosYLdaFC,12.3.1 EPI Programme,TRACKER,12.3.1 EPI Programme,NUMBER,OzshuDqmXQI
12.3.2 Malaria Programme,o5pL60pfWtO,12.3.2 Malaria  Programme,TRACKER,12.3.2 Malaria Programme,NUMBER,OzshuDqmXQI
12.3.3  IMCI Programme,wIKgpupipGG,12.3.3  IMCI Programme,TRACKER,12.3.3  IMCI Programme,NUMBER,OzshuDqmXQI
12.3.4 HIV/AIDS,zKe7X5BfIrM,12.3.4 HIV/AIDS,TRACKER,12.3.4 HIV/AIDS,NUMBER,OzshuDqmXQI
12.3.5 TB programme,cWJMFtVrTN3,12.3.5 TB programme,TRACKER,12.3.5 TB programme,NUMBER,OzshuDqmXQI
12.3.6 FP programme,djKRLJIXBMR,12.3.6 FP programme,TRACKER,12.3.6 FP programme,NUMBER,OzshuDqmXQI
12.3.8 Communicable diaseses programme,DjRZoS4B7Lc,12.3.8 Communicable diaseses programme,TRACKER,12.3.8 Communicable diaseses programme,NUMBER,OzshuDqmXQI
12.4 No. of premises served with intimation notices,XGsrFAdeygw,12.4 No. of premises served with intimation notice,AGGREGATE,,NUMBER,VUMCf2X8TsQ
"12.4 Staff attitude, motivation, job satisfaction and professional improvement is assessed and monitored over time",x2X3bGvaQhF,"12.4 Staff attitude, motivation, job sat",TRACKER,"12.4 Staff attitude, motivation, job satisfaction and professional improvement is assessed and monitored over time",NUMBER,OzshuDqmXQI
12.5 No. of previous  intimation notices complied,ShxSOiHhk2N,12.5 No. of previous  intimation notices complied,AGGREGATE,,NUMBER,spLR731EyBC
12.5 No. of previous intimation notices complied,ni0s8ECaDcC,12.5 No. of previous intimation notices complied,AGGREGATE,,INTEGER_ZERO_OR_POSITIVE,VUMCf2X8TsQ
12.5 Society satisfaction is assessed at regular intervals used in improvement plans,zFRrMeVKBjM,12.5 Society satisfaction is assessed,TRACKER,12.5 Society satisfaction is assessed at regular intervals used in improvement plans,NUMBER,OzshuDqmXQI
12.6 Efforts to obtain information on the populations changing trends on disease burden,kHfHFWV55g5,12.6 Efforts to obtain information,TRACKER,12.6 Efforts to obtain information on the populations changing trends on disease burden,NUMBER,OzshuDqmXQI
12.Total	Treatmen,N7mWThZqZHg,12. Total	Treatment,AGGREGATE,12.Total,NUMBER,pFQ7rAd4b5t
13. Results at 8 months HIV-,ct3PV2jirFq,13. 8 months HIV-,AGGREGATE,13. Results at 8 months HIV-,NUMBER,gQHAh67d3bm
13.1 Pit latrine (new),VriJR4UPZAY,13.1 Pit latrine (new),AGGREGATE,,NUMBER,kEInhRCKIYM
13.2 Existing hand washing facilities,Uici3KrCqGj,13.2 Existing hand washing facilities,AGGREGATE,,NUMBER,kEInhRCKIYM
13.3 Flush to piped sewer systems (new),N3ynLkMYyLj,13.3 Flush to piped sewer systems (new),AGGREGATE,,NUMBER,OzshuDqmXQI
13.4 Flush to septic tanks (new),qqP9hylCSEY,13.4 Flush to septic tanks (new),AGGREGATE,,NUMBER,kEInhRCKIYM
"13.5 Others (bucket, bush etc)",Qgc5VND5B04,"13.5 Others (bucket, bush etc)",AGGREGATE,,NUMBER,kEInhRCKIYM
13.6 No. of premises served with intimation notices,qOjOAzrUC14,13.6 No. of premises served with intimation notice,AGGREGATE,,NUMBER,kEInhRCKIYM
13.7 No. of previous intimation notices complied,cCxfPJnchhG,13.7 No. of previous intimation notices complied,AGGREGATE,,NUMBER,kEInhRCKIYM
1330309 GOK Contribution,QokZ5jjGLRz,1330309 GOK Contribution,AGGREGATE,1330309 GOK Contribution,NUMBER,OzshuDqmXQI
1330399 Total Grants - Fund Accounts from GoK Budget,P4TPwEIXFyV,1330399 Total Grants - Fund Accounts fro,AGGREGATE,1330399 Total Grants - Fund Accounts from GoK Budget,NUMBER,OzshuDqmXQI
14. Results at 8 months HIV Test Not Done,O5EX15HKS6f,14.  8 mths HIV Test Not,AGGREGATE,14. Results at 8 months HIV Test Not Done,NUMBER,gQHAh67d3bm
14.1 Control of points of entry,UN1zdr8FvBR,14.1 Control of points of entry,AGGREGATE,,NUMBER,N1qpwKKCzRF
14.2 Total no. of travel health documents inspected,Kr1zvTvJN5M,14.2 Total no. of travel health documents inspecte,AGGREGATE,,NUMBER,N1qpwKKCzRF
14.3 Vaccination of travellers,YYVsSnG0Sxk,14.3 Vaccination of travellers,AGGREGATE,,NUMBER,N1qpwKKCzRF
14.4 No. of travellers on surveillance,TyKOJaHCNRI,14.4 No. of travellers on surveillance,AGGREGATE,,NUMBER,N1qpwKKCzRF
1410100 Interest Received,YkVzbDfJKMy,1410100 Interest Received,AGGREGATE,1410100 Interest Received,NUMBER,OzshuDqmXQI
1410109 Interest from Com. Bank Account,H5NKPaRikyM,1410109 Interest from Com. Bank Account,AGGREGATE,1410109 Interest from Com. Bank Account,NUMBER,OzshuDqmXQI
1410199 Total Interest Received,G1v7BB4cDZq,1410199 Total Interest Received,AGGREGATE,1410199 Total Interest Received,NUMBER,OzshuDqmXQI
1420300 Receipts Admin Fees & Charges Collect as AIA,FLT5619aj9V,1420300 Receipts Admin Fees & Charges Co,AGGREGATE,1420300 Receipts Admin Fees & Charges Collect as AIA,NUMBER,OzshuDqmXQI
1420359 User Fees,cKGenTODtq8,1420359 User Fees,AGGREGATE,1420359 User Fees,NUMBER,OzshuDqmXQI
1420369 Others (Incl. Direct Donations),nspiDhcn12j,1420369 Others (Incl. Direct Donations),AGGREGATE,1420369 Others (Incl. Direct Donations),NUMBER,OzshuDqmXQI
1420399 Total Receipts Admin Fees & Charges Collect as AIA,sXFBotBEryK,1420399 Total Receipts Admin Fees & Char,AGGREGATE,1420399 Total Receipts Admin Fees & Charges Collect as AIA,NUMBER,OzshuDqmXQI
15. Number on ART,AtMqM0wLKHm,15. Number on ART,AGGREGATE,15. Number on ART,NUMBER,gQHAh67d3bm
15.1 No. of intimation notices served,yYaXkPPygwD,15.1 No. of intimation notices served,AGGREGATE,,NUMBER,pVtC0kfyuWL
15.2 No. of intimation notices complied,TP1qWXK4YtP,15.2 No. of intimation notices complied,AGGREGATE,,NUMBER,pVtC0kfyuWL
15.3 No. of statutory notices served,K1RvBQwXrDD,15.3 No. of statutory notices served,AGGREGATE,,NUMBER,pVtC0kfyuWL
15.4 No. of statutory notices complied,OawGTpm4cQ9,15.4 No. of statutory notices complied,AGGREGATE,,NUMBER,pVtC0kfyuWL
15.5 No. of cases prosecuted,v6g63HIYfzP,15.5 No. of cases prosecuted,AGGREGATE,,NUMBER,pVtC0kfyuWL
15.6 No. of cases convicted,wJ1g4UVAI90,15.6 No. of cases convicted,AGGREGATE,,NUMBER,pVtC0kfyuWL
16. Number on CPT,yy64rsnY1LJ,16. Number on CPT,AGGREGATE,16. Number on CPT,NUMBER,gQHAh67d3bm
16.1 No. of School going Children dewormed,i4yzzAyCrDk,16.1 No. of School going Children dewormed,AGGREGATE,,NUMBER,OzshuDqmXQI
17. Results at 2 months ,siMRcvQOr9A,17. Results at 2 months ,AGGREGATE,17. Results at 2 months ,NUMBER,VemQawTaBIQ
18. Results at 8 months,O511XwIX5K4,18. Results at 8 months,AGGREGATE,18. Results at 8 months,NUMBER,VemQawTaBIQ
19. Results at 8 months -HIV +,F5eCUYFODbF,19. 8 months -HIV +,AGGREGATE,19. Results at 8 months -HIV +,NUMBER,VemQawTaBIQ
1999999 Total Income/Revenue,SQvK5SWp3MZ,1999999 Total Income/Revenue,AGGREGATE,1999999 Total Income/Revenue,NUMBER,OzshuDqmXQI
1st Dose Tetanus Toxoid for pregnant  women (Health Facility),eHxtyYAzbwT,1st Dose Tetanus Toxoid for pregnant (HF,AGGREGATE,1st Dose Tetanus Toxoid for pregnant  women (Health Facility),NUMBER,OzshuDqmXQI
1st Dose Tetanus Toxoid for pregnant  women (Outreach),HuBOBbXely5,1st Dose Tetanus Toxoid for pregnant  wo,AGGREGATE,1st Dose Tetanus Toxoid for pregnant  women (Outreach),NUMBER,OzshuDqmXQI
1st delay - Cultural / religious reasons / objections ,w0yhe43HWWy,1st delay - Cultural / religious reasons,TRACKER,1st delay - Cultural / religious reasons / objections,TEXT,OzshuDqmXQI
1st delay - Failure to recognise danger signs,Hz4aRsZI3LH,1st delay - Failure to recognise danger ,TRACKER,1st delay - Failure to recognise danger signs,TEXT,OzshuDqmXQI
1st delay - High cost of treatment,DVONLoi3tKo,1st delay - High cost of treatment,TRACKER,1st delay - High cost of treatment,TEXT,OzshuDqmXQI
1st delay - Ignorance of available services ,O3lIO3jGJes,1st delay - Ignorance of available servi,TRACKER,1st delay - Ignorance of available services,TEXT,OzshuDqmXQI
"1st delay - Other, specify",FVRmGqSauyW,"1st delay - Other, specify",TRACKER,"",LONG_TEXT,OzshuDqmXQI
1st delay -Poverty,FCiX9BbS13h,1st delay -Poverty,TRACKER,1st delay -Poverty,TEXT,OzshuDqmXQI
2. Action points by facility ,UJaz6ENZGvb,2. Action points by facility ,TRACKER,2. Action points by facility ,LONG_TEXT,OzshuDqmXQI
2. Number MDR-TB tested for HIV,qgh5VZTdydJ,2. Number MDR-TB tested f,AGGREGATE,2. Number MDR-TB tested for HIV,INTEGER_POSITIVE,UheHlwUK9Zo
2. Number tested for HIV,CQVzChlE9qw,2. Number tested for HIV,AGGREGATE,2. Number tested for HIV,NUMBER,LO0zmuJyxEl
2. Relapse (R ),qXOFZWUV0WN,2. Relapse (R ),AGGREGATE,2. Relapse (R ),NUMBER,pFQ7rAd4b5t
2. Responsible Person ,NMyu9t8Dcz2,2. Responsible Person ,TRACKER,2. Responsible Person ,LONG_TEXT,OzshuDqmXQI
2. Results at 5 months ,z5BbqLoYjpf,2. Results at 5 months ,AGGREGATE,2. Results at 5 months ,NUMBER,gQHAh67d3bm
2. Timeframe,WTxmOeDBEVE,2. Timeframe,TRACKER,2. Timeframe,LONG_TEXT,OzshuDqmXQI
2.1 MOH 706_Blood Sugar Total,gTK8kZgOQ1e,2.1 MOH 706_Blood Sugar Total,AGGREGATE,Blood sugar,NUMBER,OzshuDqmXQI
2.1 MOH 706_Blood Sugar high,tgbDsXUj2I0,2.1 MOH 706_Blood Sugar high,AGGREGATE,Blood sugar,NUMBER,OzshuDqmXQI
2.1 MOH 706_Blood Sugar low,QJUync5DZoy,2.1 MOH 706_Blood Sugar low,AGGREGATE,Blood sugar,NUMBER,OzshuDqmXQI
