name,id,shortName,numerator,denominator
%HIV positive infants identified between 0 and 9 months linked to CCC,dWcHTmlsLZu,%HIV positive infants identified btw 0-9,#{q8kmDg03bi3.C0JkKJwjz0z},#{q8kmDg03bi3.kKduCnnIOk7}
%HIV positive infants linked to CCC among those testing positive,zuFauObBeOK,%HIV positive infants linked to CCC,#{HGIGKgY3L1c.C0JkKJwjz0z},#{HGIGKgY3L1c.kKduCnnIOk7}
%Mothers who received PMTCT ARVs ,travzZ9fbHI,%Mothers who received PMTCT ARVs ,#{NU2ICgX42vu.C0JkKJwjz0z},#{NU2ICgX42vu.kKduCnnIOk7}
%Patient treated for malaria managed according to national treatment guidelines,IDM2apaGrH5,%Pt Tx Mlr guidelines,#{zB1NW37bi46.LGF6iqCIERd} + #{zB1NW37bi46.Y91nbvpppbG} + #{zB1NW37bi46.lBMSm0aBgXs} + #{zB1NW37bi46.abmGKYBTUWU}, #{OoakJhWiyZp.lHl2rmXpHse} + #{OoakJhWiyZp.SeDaCnHi3m5}
%eligible HEI tested with 1st AB test and results available,A0utHTE9eDJ,%eligible HEI tested with 1st AB test,#{EmDUlUXSdWw.C0JkKJwjz0z},#{EmDUlUXSdWw.kKduCnnIOk7}
%eligible HEI tested with 1st AB test and results available,FXkV1sRbgE1,%eligible HEI tested with 1st AB test,#{EmDUlUXSdWw.C0JkKJwjz0z},#{EmDUlUXSdWw.kKduCnnIOk7}
(%) of  Adolescents (10-19 years) pregnant at 1st ANC visit,eKn1rzinNH6,(%) Adolescents (10-19 years) pregnant at 1st ANC,#{chMsCa5zcn7} + #{uHBmKxktYk0},#{f9vesk5d4IY}
(%) of Deliveries conducted by Skilled Birth Attendants,sAWX6GB722p,(%) Skilled Birth Attendants ,#{jaPrPmor6WV.NhSoXUMPK2K}+#{Kx64gGqaFVq.NhSoXUMPK2K}+#{sMqM8DwiAaj.NhSoXUMPK2K}+#{rAZBTMa7Jy3.NhSoXUMPK2K},#{tmlMpIqHimf.NhSoXUMPK2K}
(%) of HIV  positive pregnant women on ARVs ,d238y0wRpFZ,(%) of HIV  positive pregnant women on ARVs ,#{PyDKoTxqKB9}+#{UMyB7dSIdz1},#{KYpWTsp2yHv}
(%) of pregnant women who are  Adolescents (10-14 years),CMe87oOgEj8,(%) of pregnant Adolescents (10-14 years),#{chMsCa5zcn7},#{f9vesk5d4IY}
(%) of pregnant women who are  Adolescents (10-19 years),nD5xOBIMJY8,(%) of pregnant women Adolescents (10-19 years) ,#{chMsCa5zcn7}+#{uHBmKxktYk0} ,#{f9vesk5d4IY}
(%) of pregnant women who are  Adolescents (15-19 years),GOsFZKRCBqa,(%) of pregnant  Adolescents (15-19 years),#{uHBmKxktYk0},#{f9vesk5d4IY}
(Delete) % Squint Surgery,osILr6BaJGa,% Squint Surgery,#{OT56W5Vx666},#{gleQTAUHvlQ}
(Delete)%  Low vision due to refractive errors total ophthalmic patient,I6BundIAWjD,Low vision due to refractive errors ,#{txuFX4UOFHg}+#{aWFczgLX3bN},#{JGbmLfjZPEf.wBWcFk7k1qY}+#{JGbmLfjZPEf.K4WLOEhtcvC}
(Delete)% Blind due to Cataract,zyqXdGCwzeS,% Blind due to Cataract,#{UE9gZpb7nH1.hP7wPVD9mnT}+#{UE9gZpb7nH1.OdPRuXx7Vyj}+#{UE9gZpb7nH1.eZJz06Qw9vU}+#{UE9gZpb7nH1.rf4rzMwjMWT}+#{UE9gZpb7nH1.ts1WNZMlFaC}+#{UE9gZpb7nH1.jvRuY1CUNpS},#{keO7GNuBNYc.NhSoXUMPK2K}+#{nyZxBa6yi5A.NhSoXUMPK2K}
(Delete)% Blind due to Glaucoma,lFbtFS3MFSq,% Blind due to Glaucoma,#{GfoLOw33bHh},#{keO7GNuBNYc.NhSoXUMPK2K}+#{nyZxBa6yi5A.NhSoXUMPK2K}
(Delete)% Cataract operation with IOL implantation,laPCZlja6ot,% Cataract operation with IOL implantati,#{HLAZb7bcag7},#{UE9gZpb7nH1}
(Delete)% Diabetes screened,t4uWUzcb0ho,% Diabetes screened,#{HYdMSUkzDdF}+#{qzLSvOgBb2S}+#{e4TLO34L0eJ},#{JGbmLfjZPEf.wBWcFk7k1qY}+#{JGbmLfjZPEf.K4WLOEhtcvC}
(Delete)% Entropion surgery,gb2ZTI1mWSG,% Entropion surgery,#{kk3EU5RSYTx},#{coruNdbeHV5}
(Delete)% Retinal Laser Treatment,BzeXeSDyTeG,% Retinal Laser Treatment,#{PC441DEoi0l},#{HYdMSUkzDdF}
(Delete)Cataract  <5 Years,FShKdZtuG3e,Cataract  <5 Years,#{HLAZb7bcag7.j6fkKnPByyc}+#{HLAZb7bcag7.eEbWx72xgGq}+#{vedTHAMWMLk.j6fkKnPByyc}+#{vedTHAMWMLk.eEbWx72xgGq},1
(Delete)Cataract Adult >16 years,C1LC6BSlNJC,Cataract Adult >16 years,#{HLAZb7bcag7.pyoB2N4B1cY}+#{HLAZb7bcag7.yulOlF1vNjn}+#{vedTHAMWMLk.pyoB2N4B1cY}+#{vedTHAMWMLk.yulOlF1vNjn},1
(Delete)Cataract operation  5-16 years,cD88FSxgYIV,Cataract operation  5-16 years,#{vedTHAMWMLk.ffVheqj92lv}+#{vedTHAMWMLk.kd0FPFnQwOQ}+#{HLAZb7bcag7.ffVheqj92lv}+#{HLAZb7bcag7.kd0FPFnQwOQ},1
(Delete)Glaucoma,nm0sliRQ4Iz,Glaucoma,#{GfoLOw33bHh},1
(Delete)Total Entropion Surgeries,RCfjFyGHXs8,Total Entropion Surgeries,#{kk3EU5RSYTx},1
(Delete)Total Injury eye,W0TBrKZshOL,Total Injury eye,#{tCG2GSIgk4q},1
(Delete)Total Ophthalmia Neonatorum,vDbSJRMq0rG,Total Ophthalmia Neonatorum,#{VkgodRyl3Xl},1
(Delete)Total Purulent Conjunctivitis,MaVH5dXyr92,Total Purulent Conjunctivitis,#{xFN2gtOlIC3},1
(Delete)Total Retinoblastoma,MGVaup6dY3i,Total Retinoblastoma,#{DRuEFY7qxsz},1
(Delete)Total ophthalmic patients,n1PIFBHf1rg,Total ophthalmic pts,#{keO7GNuBNYc.NhSoXUMPK2K}+#{nyZxBa6yi5A.NhSoXUMPK2K},1
(Duplicate)Female Infants below 6 months on exclusive breastfeeding,xZ7KQVYNZoM,Female <6months exclusive breastfed ,#{QUueF25THDC.a57uWFr3dUy},#{twpy25QKLk9.a57uWFr3dUy} + #{AIduSzrilaz.a57uWFr3dUy} + #{ENjll6PbaI8.a57uWFr3dUy} + #{QCNHvzgxurQ.a57uWFr3dUy} + #{lvyOQjZaXZ3.a57uWFr3dUy}
(Duplicate)Proportion of pregnant women attending ANC who were issued with combined  Iron/folate supplements.,vgeqxprCL8x,No. combined Iron and Folate,#{NTLdyLadTk1.NhSoXUMPK2K},(#{f9vesk5d4IY} + #{hxXwYIgT8rI})
"(Not collected) Vitamin A coverage for Lactating Mothers (200,000IU)",zP2866sBSiM,Vit A cov Lact. Mothers,#{vfyid8wVnVz.NhSoXUMPK2K},#{tmlMpIqHimf.NhSoXUMPK2K}
0-5 Female Population(PMI),OB4T5ljkyTg,0-5 Female Population(PMI),#{KNrK5VWTZkx}*0.51,1
0-5 Male Population(PMI),IJvgIozpTF9,0-5 Male Population(PMI),#{KNrK5VWTZkx}*0.49,1
18-25_covid_vaccine,mSZ0ei6bhME,18-25_covid_vaccine,#{myQD3R0GBUq.OfZG3d4UTEe} + #{myQD3R0GBUq.LkGt7Z4CeY8} + #{qRQ3LIl7SmG.OfZG3d4UTEe} + #{qRQ3LIl7SmG.LkGt7Z4CeY8} + #{LTJsHtrbyML.OfZG3d4UTEe} + #{LTJsHtrbyML.LkGt7Z4CeY8} + #{UoaXvx7kTB7.OfZG3d4UTEe} + #{UoaXvx7kTB7.LkGt7Z4CeY8} + #{gOksPnou3je.OfZG3d4UTEe} + #{gOksPnou3je.LkGt7Z4CeY8} + #{ZWMO83OyDwx.OfZG3d4UTEe} + #{ZWMO83OyDwx.LkGt7Z4CeY8} + #{jm6G9QtE6Th.OfZG3d4UTEe} + #{jm6G9QtE6Th.LkGt7Z4CeY8} + #{pkrY92yugfK.OfZG3d4UTEe} + #{pkrY92yugfK.LkGt7Z4CeY8} + #{NHd2e6QGCkk.OfZG3d4UTEe} + #{NHd2e6QGCkk.LkGt7Z4CeY8},1
25-35_covid_vaccine,h0oEWJpgQoi,25-35_covid_vaccine,#{myQD3R0GBUq.x4bdfcs1Eyf} + #{myQD3R0GBUq.gVnIpfiEjnG} + #{qRQ3LIl7SmG.x4bdfcs1Eyf} + #{qRQ3LIl7SmG.gVnIpfiEjnG} + #{LTJsHtrbyML.x4bdfcs1Eyf} + #{LTJsHtrbyML.gVnIpfiEjnG} + #{UoaXvx7kTB7.x4bdfcs1Eyf} + #{UoaXvx7kTB7.gVnIpfiEjnG} + #{gOksPnou3je.x4bdfcs1Eyf} + #{gOksPnou3je.gVnIpfiEjnG} + #{ZWMO83OyDwx.x4bdfcs1Eyf} + #{ZWMO83OyDwx.gVnIpfiEjnG} + #{jm6G9QtE6Th.x4bdfcs1Eyf} + #{jm6G9QtE6Th.gVnIpfiEjnG} + #{pkrY92yugfK.x4bdfcs1Eyf} + #{pkrY92yugfK.gVnIpfiEjnG} + #{NHd2e6QGCkk.x4bdfcs1Eyf} + #{NHd2e6QGCkk.gVnIpfiEjnG},1
35-45_covid_vaccine,OCdXMaq0Od4,35-45_covid_vaccine,#{myQD3R0GBUq.wM9T6slu124} + #{myQD3R0GBUq.D7GeTJKDFQa} + #{qRQ3LIl7SmG.wM9T6slu124} + #{qRQ3LIl7SmG.D7GeTJKDFQa} + #{LTJsHtrbyML.wM9T6slu124} + #{LTJsHtrbyML.D7GeTJKDFQa} + #{UoaXvx7kTB7.wM9T6slu124} + #{UoaXvx7kTB7.D7GeTJKDFQa} + #{gOksPnou3je.wM9T6slu124} + #{gOksPnou3je.D7GeTJKDFQa} + #{ZWMO83OyDwx.wM9T6slu124} + #{ZWMO83OyDwx.D7GeTJKDFQa} + #{jm6G9QtE6Th.wM9T6slu124} + #{jm6G9QtE6Th.D7GeTJKDFQa} + #{pkrY92yugfK.wM9T6slu124} + #{pkrY92yugfK.D7GeTJKDFQa} + #{NHd2e6QGCkk.wM9T6slu124} + #{NHd2e6QGCkk.D7GeTJKDFQa},1
45-55_covid_vaccine,E4TGjFuvtUd,45-55_covid_vaccine,#{myQD3R0GBUq.KMGJlmXh7fa} + #{myQD3R0GBUq.F4aAJxbU3Np} + #{qRQ3LIl7SmG.KMGJlmXh7fa} + #{qRQ3LIl7SmG.F4aAJxbU3Np} + #{LTJsHtrbyML.KMGJlmXh7fa} + #{LTJsHtrbyML.F4aAJxbU3Np} + #{UoaXvx7kTB7.KMGJlmXh7fa} + #{UoaXvx7kTB7.F4aAJxbU3Np} + #{gOksPnou3je.KMGJlmXh7fa} + #{gOksPnou3je.F4aAJxbU3Np} + #{ZWMO83OyDwx.KMGJlmXh7fa} + #{ZWMO83OyDwx.F4aAJxbU3Np}  + #{jm6G9QtE6Th.KMGJlmXh7fa} + #{jm6G9QtE6Th.F4aAJxbU3Np} + #{pkrY92yugfK.KMGJlmXh7fa} + #{pkrY92yugfK.F4aAJxbU3Np} + #{NHd2e6QGCkk.KMGJlmXh7fa} + #{NHd2e6QGCkk.F4aAJxbU3Np},1
4th Antenatal Care (ANC) Coverage (%),pGF8aDdlSxY,4th Antenatal Care (ANC) Coverage (%),#{Fz0LzxMT1vV.NhSoXUMPK2K},#{pct05jgGcLt}
5+ Female Population(PMI),xvyuglWHmNX,5+ Female Population(PMI),(#{w5ltvnNihEZ})- (#{KNrK5VWTZkx}*0.51),1
5+ Male Population(PMI),xwr1h5Uijmi,5+ Male Population(PMI),(#{Mpv8crmnOzy})- (#{KNrK5VWTZkx}*0.49),1
5+ Total Population(PMI),un1m78MSdkP,5+ Total Population(PMI),(#{w5ltvnNihEZ}+#{Mpv8crmnOzy})-(#{KNrK5VWTZkx}),1
55+_covid_vaccine,nGaZDxg99pi,55+_covid_vaccine,#{myQD3R0GBUq.hsgnO0aLtTH} + #{myQD3R0GBUq.IWjT8EE7a5u} + #{qRQ3LIl7SmG.hsgnO0aLtTH} + #{qRQ3LIl7SmG.IWjT8EE7a5u} + #{LTJsHtrbyML.hsgnO0aLtTH} + #{LTJsHtrbyML.IWjT8EE7a5u} + #{UoaXvx7kTB7.hsgnO0aLtTH} + #{UoaXvx7kTB7.IWjT8EE7a5u} + #{gOksPnou3je.hsgnO0aLtTH} + #{gOksPnou3je.IWjT8EE7a5u} + #{ZWMO83OyDwx.hsgnO0aLtTH} + #{ZWMO83OyDwx.IWjT8EE7a5u} + #{jm6G9QtE6Th.hsgnO0aLtTH} + #{jm6G9QtE6Th.IWjT8EE7a5u} + #{pkrY92yugfK.hsgnO0aLtTH} + #{pkrY92yugfK.IWjT8EE7a5u} + #{NHd2e6QGCkk.hsgnO0aLtTH} + #{NHd2e6QGCkk.IWjT8EE7a5u} ,1
711 cervical screen 25-49Years,qVThi5c3M5l,711 cervical screen 25-49Yrs,#{ommbnTANmGo.FqagtL5h8ni}+#{kl4RvWOGb7x.FqagtL5h8ni}+#{G9COyloYLYa.FqagtL5h8ni},1
751_Proportion of   Pregnant and lactating women  who were malnourished,HF5476rrjpk,751_%  Pregnant and lactating  malnourished,#{AOCwxxHypQm.Py6gFedDbBe},#{AOCwxxHypQm.Py6gFedDbBe} + #{AOCwxxHypQm.UTTzAxNTKtm}
751_Proportion of Children 0-23 months  given prelacteal feeds,cZUX2iePpiO,751_% Children 0-23 months  given prelacteal feeds,#{wOFNSW7kg9v.Py6gFedDbBe},#{wOFNSW7kg9v.Py6gFedDbBe} + #{wOFNSW7kg9v.UTTzAxNTKtm}
751_Proportion of Children 0-23 months on early  initiation to breastfeeding,PN6Jy45bSaL,751_% early  initiation to breastfeeding,#{FokMFvh3FGp.U2xjqZYwbEi},#{FokMFvh3FGp.U2xjqZYwbEi} + #{FokMFvh3FGp.yVYqreHYU8q} + #{FokMFvh3FGp.fJXvzwsjETC}
751_Proportion of Children 0-5 months exclusively breastfed,SV0hUIEMH5P,751_% Children 0-5 months exclusively breastfed,#{Vw9Phs0bGSW.Py6gFedDbBe},#{Vw9Phs0bGSW.Py6gFedDbBe} + #{Vw9Phs0bGSW.UTTzAxNTKtm}
751_Proportion of Children 6-23 months consuming at least 4 food groups,pU7kY4we07g,751_% 6-23 months consuming at least 4 food groups,#{Oe0LkadAdFP.Py6gFedDbBe},#{Oe0LkadAdFP.Py6gFedDbBe} + #{Oe0LkadAdFP.UTTzAxNTKtm}
751_Proportion of Children 6-23 months consuming iron- rich foods,Tk5a82bPAJU,751_% 6-23 months consuming iron- rich foods,#{RAWb16mKoXy.Py6gFedDbBe},#{RAWb16mKoXy.Py6gFedDbBe} + #{RAWb16mKoXy.UTTzAxNTKtm}
751_Proportion of Mother/caregivers (NICHE beneficiaries) who received positive parenting sessions during home visit,OUcgDI5nEMf,751_% Mother/caregivers nutrition counse parenting,#{Ayzl7c5BUA6.Py6gFedDbBe},#{Ayzl7c5BUA6.Py6gFedDbBe} + #{Ayzl7c5BUA6.UTTzAxNTKtm}
751_Proportion of Mother/caregivers who received nutrition counselling during home visit,EMzugXW9R79,751_% Mother/caregivers nutrition counselling,#{OpfNItK9k9d.Py6gFedDbBe},#{OpfNItK9k9d.Py6gFedDbBe} + #{OpfNItK9k9d.UTTzAxNTKtm}
751_Proportion of Mothers/caregivers (NICHE beneficiaries) who received at least two nutrition counselling sessions during home visit,Wie6bIYavZw,751_% Mother/caregivers nutrition counsel NICHE,#{QnCht96qmEU.Py6gFedDbBe},#{QnCht96qmEU.Py6gFedDbBe} + #{QnCht96qmEU.UTTzAxNTKtm}
751_Proportion of Percentage of pregnant and lactating women &  caregivers with children less than 2 years who  received BFCI services (coverage),W4kOEwuChrI,751_%  P&L caregivers  received BFCI services ,#{X2LMKZ504Wv},#{Ysa9yZQFuLA}
751_Proportion of Pregnant and lactating  women consuming ≥ 5  food groups in a day,V25lkkbWTwO,751_% P&L consuming ≥ 5  food groups in a day,#{NxPuJeBdAd5.Py6gFedDbBe},#{NxPuJeBdAd5.Py6gFedDbBe} +#{NxPuJeBdAd5.UTTzAxNTKtm}
751_Proportion of Pregnant and lactating women  consuming the recommended  number of meals per day,WRdQhocJDlA,751_% P&Lwomen  consuming the recommended,#{rGCGEOaFEEE.Py6gFedDbBe},#{rGCGEOaFEEE.Py6gFedDbBe} + #{rGCGEOaFEEE.UTTzAxNTKtm}
751_Proportion of Pregnant and lactating women received  nutrition counselling  in BFCI,j07A702YXfE,751_% P&L women receive  nutri counselling in BFCI,#{uc4oYYirXma.Py6gFedDbBe},#{uc4oYYirXma.Py6gFedDbBe} + #{uc4oYYirXma.UTTzAxNTKtm}
751_Proportion of Pregnant and lactating women who received nutrition  counselling during home visit,jPBLPT332i4,751_% P&l received nutrition  counselling ,#{hDzaai04ezp.Py6gFedDbBe},#{hDzaai04ezp.Py6gFedDbBe} + #{hDzaai04ezp.UTTzAxNTKtm}
751_Proportion of Pregnant and lactating women who received positive parenting sessions  during home visi,ccxh1GghmgJ,751_% P&L received positive parenting sessions,#{vobFwVJchh2.Py6gFedDbBe},#{vobFwVJchh2.Py6gFedDbBe} + #{vobFwVJchh2.UTTzAxNTKtm}
751_Proportion of Pregnant women who consumed IFAS,I5n7y93g6ve,751_% Pregnant women who consumed IFAS,#{BKdA4Xrx7dL.Py6gFedDbBe},#{BKdA4Xrx7dL.Py6gFedDbBe} + #{BKdA4Xrx7dL.UTTzAxNTKtm}
751_Proportion of Pregnant women who had IFA,sWIsmN3wrFg,751_% Pregnant women who had IFA,#{ltSt3VLhOcq.Py6gFedDbBe},#{ltSt3VLhOcq.Py6gFedDbBe} + #{ltSt3VLhOcq.UTTzAxNTKtm}
751_Total  Pregnant and lactating women  who were malnourished,vBF9T10RPWf,51_Total  Pregnant and lactating  malnourished,#{AOCwxxHypQm.Py6gFedDbBe} + #{AOCwxxHypQm.UTTzAxNTKtm},1
751_Total Children 0-23 months  given prelacteal feeds,VAn6lvMkfYs,51_Total 0-23 months  given prelacteal feeds,#{wOFNSW7kg9v.Py6gFedDbBe} + #{wOFNSW7kg9v.UTTzAxNTKtm},1
751_Total Children 0-23 months on early initiation to breastfeeding,e5cjQFloOMF,51_0-23 months early initiation to breastfeeding,#{FokMFvh3FGp.U2xjqZYwbEi} + #{FokMFvh3FGp.yVYqreHYU8q} + #{FokMFvh3FGp.fJXvzwsjETC},1
751_Total Children 0-5 months exclusively breastfed,X1CXeVDk9A1,51_Total Children 0-5 months exclusively breastfed,#{Vw9Phs0bGSW.Py6gFedDbBe} + #{Vw9Phs0bGSW.UTTzAxNTKtm},1
751_Total Children 6-23 months consuming at least 4 food groups,wmOpZfcRPKi,51_6-23 months consuming at least 4 food groups,#{Oe0LkadAdFP.Py6gFedDbBe} + #{Oe0LkadAdFP.UTTzAxNTKtm},1
751_Total Children 6-23 months consuming iron- rich foods,ES4YlGuu1tv,751_Total 6-23 months consuming iron- rich foods,#{RAWb16mKoXy.Py6gFedDbBe} + #{RAWb16mKoXy.UTTzAxNTKtm},1
751_Total Mother/caregivers (NICHE beneficiaries) who received at least two nutrition counselling sessions during home visit,u4kzYywsFrw,751_Total Mother/caregivers  nutr counsellin NICHE,#{QnCht96qmEU.Py6gFedDbBe} + #{QnCht96qmEU.UTTzAxNTKtm},1
